,value
total_return,0.21859301252528596
benchmark_total_return,0.12698426668427842
excess_total_return,0.09160874584100753
total_pnl_usd,10929650.626264296
ending_portfolio_value_usd,60929650.6262643
annualized_return,0.1874305969128056
benchmark_annualized_return,0.10946811120252686
annualized_volatility,0.19496796887895285
target_annualized_volatility,0.18
risk_target_gap,0.014967968878952853
sharpe_ratio,0.9613404601305209
tracking_error,0.20287931403014464
information_ratio,0.3842801129478127
max_drawdown,-0.1332935544181879
average_turnover,0.2984356363778529
average_short_exposure,0.0
average_gross_exposure,0.9324406822246907
average_short_borrow_cost,0.0
average_unique_positions,14.386206896551725
meets_min_unique_positions,1.0
