date,portfolio_return,gross_return,benchmark_return,excess_return,turnover,trading_cost,short_borrow_cost,short_exposure,gross_exposure,net_exposure,unique_positions,long_count,short_count,long_tickers,short_tickers,weights_json,is_rebalance_day,signal_date,leverage_multiplier,portfolio_drawdown,stop_triggers_today,stop_position_events_cum,portfolio_value,portfolio_nav
2025-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,{},0,,0.0,0.0,0,0,50000000.0,1.0
2025-02-24,0.0,0.0,-0.007989763467233124,0.007989763467233124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,{},1,2025-02-21,0.0,0.0,0,0,50000000.0,1.0
2025-02-25,0.0,0.0,-0.004973177992678157,0.004973177992678157,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,{},0,,0.0,0.0,0,0,50000000.0,1.0
2025-02-26,0.0,0.0,0.0005048259926943022,-0.0005048259926943022,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,{},0,,0.0,0.0,0,0,50000000.0,1.0
2025-02-27,0.0,0.0,-0.01596190430433686,0.01596190430433686,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,{},0,,0.0,0.0,0,0,50000000.0,1.0
2025-02-28,0.0,0.0,0.015605512474676564,-0.015605512474676564,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,{},0,,0.0,0.0,0,0,50000000.0,1.0
2025-03-03,0.0,0.0,-0.02081581619140338,0.02081581619140338,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,{},1,2025-02-28,0.0,0.0,0,0,50000000.0,1.0
2025-03-04,0.0,0.0,-0.011836911709231068,0.011836911709231068,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,{},0,,0.0,0.0,0,0,50000000.0,1.0
2025-03-05,0.0,0.0,0.010747863198125485,-0.010747863198125485,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,{},0,,0.0,0.0,0,0,50000000.0,1.0
2025-03-06,0.0,0.0,-0.017751133038238276,0.017751133038238276,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,{},0,,0.0,0.0,0,0,50000000.0,1.0
2025-03-07,0.0,0.0,0.005604862520902865,-0.005604862520902865,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,{},0,,0.0,0.0,0,0,50000000.0,1.0
