,value
total_return,0.21072002704017145
benchmark_total_return,0.12698426668427842
excess_total_return,0.08373576035589303
total_pnl_usd,10536001.352008574
ending_portfolio_value_usd,60536001.35200857
annualized_return,0.18076136549337574
benchmark_annualized_return,0.10946811120252686
annualized_volatility,0.18209245713144323
target_annualized_volatility,0.18
risk_target_gap,0.002092457131443237
sharpe_ratio,0.9926900231946091
tracking_error,0.18810134796961717
information_ratio,0.3790151163742028
max_drawdown,-0.12398755093236724
average_turnover,0.30018191186859794
average_short_exposure,0.0
average_gross_exposure,0.995212346709076
average_short_borrow_cost,0.0
average_unique_positions,28.786206896551725
meets_min_unique_positions,1.0
