date,run_timestamp,latest_market_date,ticker_source,strict_membership,membership_available,membership_max_end_date,membership_stale_days,used_membership_fallback,warning,model_name
2026-03-18,2026-03-18T23:43:22.205708,2026-03-18,sp500,0,1,2026-03-18,0,0,,baseline
2026-03-19,2026-03-19T17:30:22.238638,2026-03-19,sp500,0,1,2026-03-19,0,0,,baseline
2026-03-20,2026-03-21T18:04:12.670317,2026-03-20,sp500,0,1,2026-03-21,0,0,,baseline
2026-03-23,2026-03-23T17:30:18.093582,2026-03-23,sp500,0,1,2026-03-23,0,0,,baseline
2026-03-24,2026-03-24T23:50:53.730997,2026-03-24,sp500,0,1,2026-03-24,0,0,,baseline
2026-03-25,2026-03-26T01:22:52.291422,2026-03-25,sp500,0,1,2026-03-26,0,0,,baseline
2026-03-26,2026-03-27T01:59:10.890825,2026-03-26,sp500,0,1,2026-03-27,0,0,,baseline
2026-03-27,2026-03-28T23:08:59.460164,2026-03-27,sp500,0,1,2026-03-28,0,0,,baseline
2026-03-30,2026-03-30T17:30:17.608831,2026-03-30,sp500,0,1,2026-03-30,0,0,,baseline
2026-03-31,2026-04-01T02:21:50.956774,2026-03-31,sp500,0,1,2026-04-01,0,0,,baseline
2026-04-01,2026-04-01T17:30:32.845711,2026-04-01,sp500,0,1,2026-04-01,0,0,,baseline
2026-04-02,2026-04-04T00:20:49.357131,2026-04-02,sp500,0,1,2026-04-04,0,0,,baseline
2026-04-06,2026-04-06T17:30:21.085766,2026-04-06,sp500,0,1,2026-04-06,0,0,,baseline
2026-04-07,2026-04-07T18:09:49.037512,2026-04-07,sp500,0,1,2026-04-07,0,0,,baseline
2026-04-08,2026-04-08T17:30:37.846652,2026-04-08,sp500,0,1,2026-04-08,0,0,,baseline
2026-04-09,2026-04-09T17:30:38.101462,2026-04-09,sp500,0,1,2026-04-09,0,0,,baseline
2026-04-10,2026-04-11T01:19:50.255545,2026-04-10,sp500,0,1,2026-04-11,0,0,,baseline
2026-04-13,2026-04-13T17:30:15.718177,2026-04-13,sp500,0,1,2026-04-13,0,0,,baseline
2026-04-14,2026-04-14T17:30:31.349637,2026-04-14,sp500,0,1,2026-04-14,0,0,,baseline
2026-04-14,2026-04-14T17:17:58.833021,2026-04-14,sp500,0,1,2026-04-14,0,0,,improved_diversified
2026-04-15,2026-04-15T23:07:47.884225,2026-04-15,sp500,0,1,2026-04-15,0,0,,baseline
2026-04-15,2026-04-15T23:07:23.026132,2026-04-15,sp500,0,1,2026-04-15,0,0,,improved_diversified
2026-04-16,2026-04-16T17:30:35.266962,2026-04-16,sp500,0,1,2026-04-16,0,0,,baseline
2026-04-16,2026-04-16T17:27:24.638677,2026-04-16,sp500,0,1,2026-04-16,0,0,,improved_diversified
2026-04-17,2026-04-17T18:37:16.784082,2026-04-17,sp500,0,1,2026-04-17,0,0,,baseline
2026-04-17,2026-04-17T18:36:56.796745,2026-04-17,sp500,0,1,2026-04-17,0,0,,improved_diversified
